wellName,datasetName,DEPT,GR_NORM,ILD,NPHI_HC,PHIE_D,PHIT_D,RHOB_HC,VSH_FINAL,Core_facies1
,,ft,gAPI,ohm.m,frac,v/v,v/v,g/cm3,v/v,
ADSW-4ST3,ADSW-4ST3,6798,115.9325,1.35,0.39,0.1054489,0.2181818,2.29,0.5166928,-9999
ADSW-4ST3,ADSW-4ST3,6798.5,113.64,1.36,0.37,0.110599,0.2121212,2.3,0.4786049,-9999
ADSW-4ST3,ADSW-4ST3,6799,116.2266,1.37,0.38,0.1114627,0.2181818,2.29,0.4891291,-9999
ADSW-4ST3,ADSW-4ST3,6799.5,114.0153,1.37,0.38,0.1114627,0.2181818,2.29,0.4891291,-9999
ADSW-4ST3,ADSW-4ST3,6800,117.5047,1.34,0.38,0.09824811,0.2060606,2.31,0.5232078,-9999
ADSW-4ST3,ADSW-4ST3,6800.5,114.4008,1.3,0.37,0.07930885,0.1818182,2.35,0.5638015,-9999
ADSW-4ST3,ADSW-4ST3,6801,117.3424,1.23,0.37,0.06823855,0.169697,2.37,0.5978801,-9999
ADSW-4ST3,ADSW-4ST3,6801.5,115.6789,1.1,0.4,0.05913687,0.1757576,2.36,0.6635317,-9999
ADSW-4ST3,ADSW-4ST3,6802,116.8353,1.05,0.44,0.03975879,0.1757576,2.36,0.7737862,-9999
ADSW-4ST3,ADSW-4ST3,6802.5,116.4701,0.95,0.45,0.03491428,0.1757576,2.36,0.8013499,-9999
ADSW-4ST3,ADSW-4ST3,6803,115.9325,0.93,0.5,0.01069167,0.1757576,2.36,0.9391681,-9999
ADSW-4ST3,ADSW-4ST3,6803.5,118.3365,0.92,0.5,0.01415841,0.1818182,2.35,0.9221288,-9999
ADSW-4ST3,ADSW-4ST3,6804,115.8513,0.95,0.5,0.01069167,0.1757576,2.36,0.9391681,-9999
ADSW-4ST3,ADSW-4ST3,6804.5,115.1615,1.05,0.45,0.03921627,0.1818182,2.35,0.7843106,-9999
ADSW-4ST3,ADSW-4ST3,6805,111.8243,1.17,0.43,0.05408205,0.1878788,2.34,0.712144,-9999
ADSW-4ST3,ADSW-4ST3,6805.5,115.0094,1.16,0.41,0.07541241,0.2,2.32,0.622938,-9999
ADSW-4ST3,ADSW-4ST3,6806,115.0094,1.11,0.38,0.07997519,0.1878788,2.34,0.5743257,-9999
ADSW-4ST3,ADSW-4ST3,6806.5,115.8818,1.06,0.39,0.0639814,0.1757576,2.36,0.635968,-9999
ADSW-4ST3,ADSW-4ST3,6807,110.5563,1.01,0.41,0.05429235,0.1757576,2.36,0.6910954,-9999
ADSW-4ST3,ADSW-4ST3,6807.5,109.7651,1.07,0.45,0.03081881,0.169697,2.37,0.8183892,-9999
ADSW-4ST3,ADSW-4ST3,6808,107.5335,0.93,0.48,0.007242648,0.1515151,2.4,0.9521985,-9999
ADSW-4ST3,ADSW-4ST3,6808.5,111.6721,0.93,0.45,0.01650226,0.1454545,2.41,0.8865469,-9999
ADSW-4ST3,ADSW-4ST3,6809,113.8429,0.99,0.45,0.01977157,0.1515151,2.4,0.8695076,-9999
ADSW-4ST3,ADSW-4ST3,6809.5,119.7262,0.9,0.45,0.02324742,0.1575757,2.39,0.8524683,-9999
ADSW-4ST3,ADSW-4ST3,6810,117.8699,0.89,0.47,0.01456069,0.1575757,2.39,0.9075956,-9999
ADSW-4ST3,ADSW-4ST3,6810.5,117.1091,0.91,0.46,0.01890405,0.1575757,2.39,0.8800319,-9999
ADSW-4ST3,ADSW-4ST3,6811,113.8226,0.9,0.45,0.01977157,0.1515151,2.4,0.8695076,-9999
ADSW-4ST3,ADSW-4ST3,6811.5,112.1894,0.95,0.44,0.02759078,0.1575757,2.39,0.8249046,-9999
ADSW-4ST3,ADSW-4ST3,6812,110.1404,0.92,0.43,0.03595062,0.1636363,2.38,0.7803017,-9999
ADSW-4ST3,ADSW-4ST3,6812.5,105.6163,0.87,0.45,0.03081881,0.169697,2.37,0.8183892,-9999
ADSW-4ST3,ADSW-4ST3,6813,107.8378,0.88,0.46,0.02241938,0.1636363,2.38,0.8629926,-9999
ADSW-4ST3,ADSW-4ST3,6813.5,112.8386,0.9,0.5,0.001530607,0.1575757,2.39,0.9902865,-9999
ADSW-4ST3,ADSW-4ST3,6814,117.4845,0.92,0.49,0.003066333,0.1515151,2.4,0.9797622,-9999
ADSW-4ST3,ADSW-4ST3,6814.5,120.2537,1,0.48,0.007242648,0.1515151,2.4,0.9521985,-9999
ADSW-4ST3,ADSW-4ST3,6815,119.1277,0.98,0.43,0.03193412,0.1575757,2.39,0.797341,-9999
ADSW-4ST3,ADSW-4ST3,6815.5,119.7465,0.93,0.42,0.03627749,0.1575757,2.39,0.7697774,-9999
ADSW-4ST3,ADSW-4ST3,6816,119.1075,1.01,0.43,0.02452076,0.1454545,2.41,0.8314197,-9999
ADSW-4ST3,ADSW-4ST3,6816.5,118.6611,1.03,0.45,0.01977157,0.1515151,2.4,0.8695076,-9999
ADSW-4ST3,ADSW-4ST3,6817,122.5969,1.05,0.43,0.03193412,0.1575757,2.39,0.797341,-9999
ADSW-4ST3,ADSW-4ST3,6817.5,121.2376,1.04,0.41,0.0288083,0.1393939,2.42,0.7933317,-9999
ADSW-4ST3,ADSW-4ST3,6818,120.913,1.03,0.42,0.02160871,0.1333333,2.43,0.8379346,-9999
ADSW-4ST3,ADSW-4ST3,6818.5,116.7034,1.12,0.43,0.02452076,0.1454545,2.41,0.8314197,-9999
ADSW-4ST3,ADSW-4ST3,6819,117.3019,1.05,0.46,0.01559525,0.1515151,2.4,0.8970713,-9999
ADSW-4ST3,ADSW-4ST3,6819.5,118.5597,0.99,0.46,0.01890405,0.1575757,2.39,0.8800319,-9999
ADSW-4ST3,ADSW-4ST3,6820,120.1725,1,0.47,0.01456069,0.1575757,2.39,0.9075956,-9999
ADSW-4ST3,ADSW-4ST3,6820.5,122.7491,1.11,0.45,0.0269298,0.1636363,2.38,0.835429,-9999
ADSW-4ST3,ADSW-4ST3,6821,120.9638,1.08,0.45,0.03491428,0.1757576,2.36,0.8013499,-9999
ADSW-4ST3,ADSW-4ST3,6821.5,116.5512,1.05,0.43,0.04017374,0.169697,2.37,0.763262,-9999
ADSW-4ST3,ADSW-4ST3,6822,113.3762,1.01,0.45,0.02324742,0.1575757,2.39,0.8524683,-9999
ADSW-4ST3,ADSW-4ST3,6822.5,113.2545,1.02,0.46,0.012493,0.1454545,2.41,0.9141106,-9999
ADSW-4ST3,ADSW-4ST3,6823,111.4794,1,0.48,0.004474491,0.1454545,2.41,0.9692379,-9999
ADSW-4ST3,ADSW-4ST3,6823.5,110.3331,0.94,0.45,0.01977157,0.1515151,2.4,0.8695076,-9999
ADSW-4ST3,ADSW-4ST3,6824,109.2883,0.96,0.44,0.02759078,0.1575757,2.39,0.8249046,-9999
ADSW-4ST3,ADSW-4ST3,6824.5,107.8378,1.01,0.44,0.02394787,0.1515151,2.4,0.841944,-9999
ADSW-4ST3,ADSW-4ST3,6825,105.9409,0.94,0.47,0.01141895,0.1515151,2.4,0.9246349,-9999
ADSW-4ST3,ADSW-4ST3,6825.5,104.4193,0.9,0.48,0.01339856,0.1636363,2.38,0.9181198,-9999
ADSW-4ST3,ADSW-4ST3,6826,110.3636,0.92,0.47,0.02522523,0.1757576,2.36,0.8564772,-9999
ADSW-4ST3,ADSW-4ST3,6826.5,108.9029,0.9,0.44,0.03549628,0.169697,2.37,0.7908256,-9999
ADSW-4ST3,ADSW-4ST3,6827,108.4768,0.88,0.43,0.02452076,0.1454545,2.41,0.8314197,-9999
ADSW-4ST3,ADSW-4ST3,6827.5,103.6991,0.87,0.41,0.02528385,0.1333333,2.43,0.810371,-9999
ADSW-4ST3,ADSW-4ST3,6828,104.8961,0.86,0.45,0.01977157,0.1515151,2.4,0.8695076,-9999
ADSW-4ST3,ADSW-4ST3,6828.5,108.842,0.86,0.49,0.008888144,0.1636363,2.38,0.9456835,-9999
ADSW-4ST3,ADSW-4ST3,6829,112.2097,0.89,0.52,0,0.1636363,2.38,1,-9999
ADSW-4ST3,ADSW-4ST3,6829.5,115.2123,0.93,0.53,0,0.1636363,2.38,1,-9999
ADSW-4ST3,ADSW-4ST3,6830,112.9705,0.97,0.53,0,0.1575757,2.39,1,-9999
ADSW-4ST3,ADSW-4ST3,6830.5,113.8429,0.97,0.52,0,0.1515151,2.4,1,-9999
ADSW-4ST3,ADSW-4ST3,6831,111.1852,0.92,0.51,0,0.1515151,2.4,1,-9999
ADSW-4ST3,ADSW-4ST3,6831.5,111.946,0.88,0.48,0.007242648,0.1515151,2.4,0.9521985,-9999
ADSW-4ST3,ADSW-4ST3,6832,110.039,0.87,0.45,0.02324742,0.1575757,2.39,0.8524683,-9999
ADSW-4ST3,ADSW-4ST3,6832.5,107.1784,0.86,0.44,0.02759078,0.1575757,2.39,0.8249046,-9999
ADSW-4ST3,ADSW-4ST3,6833,104.0237,0.86,0.45,0.01977157,0.1515151,2.4,0.8695076,-9999
ADSW-4ST3,ADSW-4ST3,6833.5,102.8673,0.84,0.45,0.01977157,0.1515151,2.4,0.8695076,-9999
ADSW-4ST3,ADSW-4ST3,6834,102.492,0.83,0.48,0.007242648,0.1515151,2.4,0.9521985,-9999
ADSW-4ST3,ADSW-4ST3,6834.5,104.1556,0.83,0.5,0.001530607,0.1575757,2.39,0.9902865,-9999
ADSW-4ST3,ADSW-4ST3,6835,103.0905,0.82,0.51,0,0.1515151,2.4,1,-9999
ADSW-4ST3,ADSW-4ST3,6835.5,106.4075,0.84,0.48,0.007242648,0.1515151,2.4,0.9521985,-9999
ADSW-4ST3,ADSW-4ST3,6836,106.5799,0.85,0.5,0.004377734,0.1636363,2.38,0.9732472,-9999
ADSW-4ST3,ADSW-4ST3,6836.5,110.4143,0.87,0.51,0.005847153,0.1757576,2.36,0.9667317,-9999
ADSW-4ST3,ADSW-4ST3,6837,110.7997,0.89,0.53,0,0.169697,2.37,1,-9999
ADSW-4ST3,ADSW-4ST3,6837.5,109.481,0.9,0.49,0.005873965,0.1575757,2.39,0.9627229,-9999
