wellName,datasetName,DEPT,DT,GR_NORM,ILD,NPHI_HC,PHIE_D,PHIT_D,RHOB_HC,VSH_FINAL
,,ft,US/FT,gAPI,OHMM,frac,v/v,v/v,g/cm3,v/v
AD-1,AD-1,30,-9999,47.32298,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,30.5,-9999,48.16398,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,31,-9999,48.16398,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,31.5,-9999,48.16398,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,32,-9999,47.74348,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,32.5,-9999,47.32298,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,33,-9999,47.32298,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,33.5,-9999,47.32298,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,34,-9999,47.77691,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,34.5,-9999,48.16398,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,35,-9999,47.68832,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,35.5,-9999,47.32298,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,36,-9999,47.32298,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,36.5,-9999,47.57703,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,37,-9999,48.00111,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,37.5,-9999,48.58448,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,38,-9999,48.84926,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,38.5,-9999,49.84599,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,39,-9999,49.84599,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,39.5,-9999,49.84599,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,40,-9999,49.42549,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,40.5,-9999,49.42549,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,41,-9999,49.84599,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,41.5,-9999,50.26649,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,42,-9999,50.26649,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,42.5,-9999,51.70882,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,43,-9999,51.75599,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,43.5,-9999,49.62572,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,44,-9999,47.74348,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,44.5,-9999,48.58448,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,45,-9999,49.00499,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,45.5,-9999,49.00499,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,46,-9999,49.42549,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,46.5,-9999,49.42549,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,47,-9999,50.96845,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,47.5,-9999,52.36901,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,48,-9999,51.77694,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,48.5,-9999,49.61906,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,49,-9999,48.20148,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,49.5,-9999,48.16398,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,50,-9999,48.08675,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,50.5,-9999,48.1342,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,51,-9999,49.38365,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,51.5,-9999,49.38084,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,52,-9999,49.79826,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,52.5,-9999,49.37271,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,53,-9999,48.53087,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,53.5,-9999,48.52666,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,54,-9999,48.52253,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,54.5,-9999,48.51833,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,55,-9999,47.67648,-9999,-9999,-9999,-9999,-9999,-9999
AD-1,AD-1,55.5,-9999,47.25037,-9999,-9999,-9999,-9999,-9999,-9999
