wellName,datasetName,DEPT,DT,GR_NORM,ILD,NPHI_HC,PHIE_D,PHIT_D,RHOB_HC,VSH_FINAL
,,ft,US/F,gAPI,ohm.m,frac,v/v,v/v,g/cm3,v/v
AD-3,AD-3,5461,119.8595,76.40799,1.1203,0.3969238,0.2882273,0.3522424,2.0688,0.1817359
AD-3,AD-3,5461.5,120.0386,76.32549,1.1217,0.3924316,0.2885893,0.3498788,2.0727,0.1751735
AD-3,AD-3,5462,120.6193,77.38007,1.1027,0.3924316,0.2837633,0.3473939,2.0768,0.1831654
AD-3,AD-3,5462.5,120.2745,78.37607,1.1042,0.3924316,0.2790935,0.3449697,2.0808,0.1909622
AD-3,AD-3,5463,120.176,78.83636,1.1202,0.3901855,0.2768875,0.3425454,2.0848,0.1916766
AD-3,AD-3,5463.5,120.0582,78.39755,1.1276,0.3901855,0.2733104,0.3406667,2.0879,0.197719
AD-3,AD-3,5464,119.728,78.15549,1.129,0.3901855,0.2722761,0.3401212,2.0888,0.1994734
AD-3,AD-3,5464.5,119.5026,78.68857,1.1305,0.3946777,0.2721503,0.342606,2.0847,0.2056464
AD-3,AD-3,5465,119.28,79.77277,1.1474,0.3946777,0.2788557,0.3461212,2.0789,0.1943409
AD-3,AD-3,5465.5,118.9155,80.69583,1.1676,0.3924316,0.2858772,0.3484848,2.075,0.1796567
AD-3,AD-3,5466,118.7559,81.06313,1.1801,0.3901855,0.2883452,0.3484848,2.075,0.1725744
AD-3,AD-3,5466.5,118.408,81.45363,1.2153,0.3879395,0.2931882,0.349697,2.073,0.1615936
AD-3,AD-3,5467,118.0599,82.8147,1.2476,0.3812012,0.2982175,0.3484848,2.075,0.1442455
AD-3,AD-3,5467.5,117.2957,84.56928,1.2767,0.3744629,0.3004372,0.3458788,2.0793,0.1313801
AD-3,AD-3,5468,116.0478,86.54443,1.3146,0.3699707,0.2875815,0.3368486,2.0942,0.1462588
AD-3,AD-3,5468.5,114.4349,88.56204,1.3594,0.3722168,0.2581371,0.3224849,2.1179,0.1995374
AD-3,AD-3,5469,111.9658,90.40611,1.407,0.3744629,0.2194981,0.3018788,2.1519,0.2728933
AD-3,AD-3,5469.5,109.8658,92.01367,1.4489,0.376709,0.167716,0.2706667,2.2034,0.3803596
AD-3,AD-3,5470,108.6167,93.20634,1.52,0.376709,0.1231685,0.2385454,2.2564,0.4836684
AD-3,AD-3,5470.5,107.8088,94.08923,1.5703,0.3744629,0.09941857,0.2177576,2.2907,0.5434439
AD-3,AD-3,5471,109.8092,94.72942,1.5739,0.3722168,0.08752188,0.2058182,2.3104,0.5747612
AD-3,AD-3,5471.5,111.3593,95.12411,1.5472,0.3834473,0.07318129,0.1989696,2.3217,0.6321987
AD-3,AD-3,5472,112.8992,95.38651,1.5476,0.3991699,0.06924233,0.2050302,2.3117,0.6622823
AD-3,AD-3,5472.5,114.469,95.54665,1.5499,0.4126465,0.07201169,0.2166061,2.2926,0.6675454
AD-3,AD-3,5473,116.4785,95.86664,1.497,0.4193848,0.08707011,0.2350302,2.2622,0.6295366
AD-3,AD-3,5473.5,116.472,96.58475,1.4974,0.4283691,0.08041196,0.2350302,2.2622,0.6578655
AD-3,AD-3,5474,116.448,97.36381,1.4996,0.4395996,0.07338207,0.2362424,2.2602,0.6893781
AD-3,AD-3,5474.5,115.6507,98.30742,1.4741,0.4575683,0.05895602,0.2352121,2.2619,0.7493496
